InvestorID,InvestorName,current_task_index,PrimaryInvestorType,Website,normalized_domain,current_token_company_count,current_source_methods
495516-16,Algorand Miami Accelerator,5089,Accelerator/Incubator,www.algorand-miami-accelerator.com,algorand-miami-accelerator.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
495810-37,Amia Lazarus,5091,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
495810-82,Amy Hilker,5092,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
222197-23,Ardie Johnson,5099,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
463418-02,ARK36,5101,Hedge Fund,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
571475-53,Ashe Ventures,5103,Family Office,www.asheventures.com,asheventures.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
495818-47,Barry O'Neill,5105,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
495810-73,Ben Gallinson,5106,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
453540-07,Blockchain Cuties Universe,5110,VC-Backed Company,www.blockchaincuties.com,blockchaincuties.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
59866-30,Blockmate Ventures,5111,Accelerator/Incubator,www.blockmate.com,blockmate.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
433971-01,Brand Capital International,5114,Corporate Venture Capital,www.brandcapitalus.com,brandcapitalus.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
55656-82,Brown Venture Labs,5119,Accelerator/Incubator,venturelabs.org,venturelabs.org,1,company_investor_relation|deal_investor_relation|investor_investment_relation
495818-56,Bruce Whisnant,5120,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
431230-69,ChainTED,5124,Venture Capital,www.chainted.vc,chainted.vc,1,company_investor_relation|deal_investor_relation|investor_investment_relation
466990-84,Charles Adams,5126,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
454883-23,Charnov Family,5127,Venture Capital,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
437615-92,Chernin Entertainment,5128,PE-Backed Company,www.cherninent.com,cherninent.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
458474-86,Claster Investments,5133,Family Office,www.claster-investments.com,claster-investments.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
638792-74,Coin98 Insights,5137,VC-Backed Company,www.coin98.net,coin98.net,1,company_investor_relation|deal_investor_relation|investor_investment_relation
222196-69,Craig Cheney,5140,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
230960-71,CryptoBLK,5141,VC-Backed Company,www.cryptoblk.io,cryptoblk.io,1,company_investor_relation|deal_investor_relation|investor_investment_relation
225987-85,CSIRO ON Accelerate,5143,Accelerator/Incubator,oninnovation.com.au,oninnovation.com.au,1,company_investor_relation|deal_investor_relation|investor_investment_relation
62216-29,Daman Investments,5145,Asset Manager,www.daman.ae,daman.ae,1,company_investor_relation|deal_investor_relation|investor_investment_relation
510232-60,Daoverse Capital,5147,Corporation,www.daoverse.capital,daoverse.capital,1,company_investor_relation|deal_investor_relation|investor_investment_relation
482208-49,Data Tech Fund,5148,Venture Capital,www.datatech.fund,datatech.fund,1,company_investor_relation|deal_investor_relation|investor_investment_relation
470815-30,Dave Jones,5149,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
222197-05,David Meine,5151,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
267301-54,Delwik Group,5153,Venture Capital,www.delwikgroup.com,delwikgroup.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
108091-09,Dexter Studios,5154,Corporation,www.dexterstudios.com,dexterstudios.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
111392-92,Dmitry Koval,5156,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
222197-14,Don Morris,5157,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
265909-96,Dunhong Capital Management,5160,Venture Capital,www.dh-capital.cn,dh-capital.cn,1,company_investor_relation|deal_investor_relation|investor_investment_relation
234408-97,Eduardo Vivas,5161,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
100514-17,EIM Capital,5162,Infrastructure,www.eimcapital.mx,eimcapital.mx,1,company_investor_relation|deal_investor_relation|investor_investment_relation
222196-60,Eric Ahlman,5163,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
127721-35,Eric Schiermeyer,5164,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
56284-03,ESADE BAN,5165,Angel Group,www.esadeban.com,esadeban.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
230150-26,EXOR Seeds,5168,Venture Capital,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
468900-10,F&F Partners,5169,Corporate Venture Capital,www.fnfpartners.com,fnfpartners.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
126922-33,FiveWest.,5174,Venture Capital,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
438110-20,Flash Ventures,5175,Venture Capital,www.flash.vc,flash.vc,1,company_investor_relation|deal_investor_relation|investor_investment_relation
55334-08,Founder Institute,5176,Accelerator/Incubator,fi.co,fi.co,1,company_investor_relation|deal_investor_relation|investor_investment_relation
123211-00,Global Securities Arbitrage,5183,Corporation,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
10405-54,HSBC Holdings,5189,Holding Company,www.hsbc.com,hsbc.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
52255-72,HU Investments,5190,Venture Capital,www.huinvestments.com,huinvestments.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
41731-39,IDB Lab,5191,Impact Investing,bidlab.org/en,bidlab.org,1,company_investor_relation|deal_investor_relation|investor_investment_relation
101707-93,IDG Netherlands,5192,Corporation,idg.nl,idg.nl,1,company_investor_relation|deal_investor_relation|investor_investment_relation
85041-91,iLogos,5193,VC-Backed Company,www.ilogos.biz,ilogos.biz,1,company_investor_relation|deal_investor_relation|investor_investment_relation
10853-47,ING Nederland,5194,Investment Bank,www.ing.nl,ing.nl,1,company_investor_relation|deal_investor_relation|investor_investment_relation
226831-42,Initial Capital (China),5195,Venture Capital,www.initialvc.com,initialvc.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
52274-89,Inkef,5196,Venture Capital,www.inkef.com,inkef.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
820969-66,İTÜ Çekirdek,5197,Accelerator/Incubator,www.basvuru.itucekirdek.com,basvuru.itucekirdek.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
431326-45,Jeffrey Tolk,5199,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
500024-44,K&R Limited,5204,Corporation,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
552611-35,Kevlar Fund,5207,Venture Capital,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
631423-00,Kmanu,5209,Venture Capital,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
490691-53,Maelstrom Interactive,5220,Corporation,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
399556-90,Marbruck Investments,5223,Venture Capital,marbruck.com,marbruck.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
470077-03,Mary O'Connor,5224,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
106541-83,Maynard Webb,5226,Angel (individual),www.maynardwebb.com,maynardwebb.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
463421-26,MDC Investments,5227,PE/Buyout,www.mdc-investments.com,mdc-investments.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
491325-13,Michael Gunderson,5228,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
431702-65,Michael Kamleitner,5229,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
65755-54,Mindflair,5232,Venture Capital,mindflair.tech,mindflair.tech,1,company_investor_relation|deal_investor_relation|investor_investment_relation
162221-14,Mubadala Investment Company,5237,Sovereign Wealth Fund,www.mubadala.com,mubadala.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
452708-02,Nansen (Business/Productivity Software),5238,VC-Backed Company,www.nansen.ai,nansen.ai,1,company_investor_relation|deal_investor_relation|investor_investment_relation
300874-15,NatWest Entrepreneur Accelerator,5240,Accelerator/Incubator,accelerator.natwest.com,accelerator.natwest.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
56659-24,OneFootball,5250,VC-Backed Company,www.onefootball.com,onefootball.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
436560-67,P&I Investment,5252,Venture Capital,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
495810-01,Paul Katz,5254,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
434241-64,PAX Momentum,5256,Venture Capital,www.paxmv.vc,paxmv.vc,1,company_investor_relation|deal_investor_relation|investor_investment_relation
11318-86,Pelion Venture Partners,5257,Venture Capital,www.pelionvp.com,pelionvp.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
557242-21,Pontinova Invest,5260,Venture Capital,www.pontinova.com,pontinova.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
125084-71,Precursor Ventures,5261,Venture Capital,precursorvc.com,precursorvc.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
183799-00,Promentum Equity Partners,5262,Venture Capital,www.promentumequity.com,promentumequity.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
52854-13,QFS Asset Management,5263,Asset Manager,www.qfsfunds.com,qfsfunds.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
464143-42,RBB Lab,5266,VC-Backed Company,www.rbblab.com,rbblab.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
495818-65,Robert Castle,5272,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
493657-12,Ronald Hose,5274,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
639920-35,Scale the Impact,5280,Accelerator/Incubator,www.scaletheimpact.com,scaletheimpact.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
222345-55,Scott McNealy,5282,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
222196-78,Scott Petersen,5283,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
10405-45,Skandinaviska Enskilda Banken,5292,Investment Bank,www.sebgroup.com,sebgroup.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
494744-95,Skull Diamond and Heart Capital,5293,Venture Capital,www.sdhcap.com,sdhcap.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
527017-42,Solowin Holdings,5295,Corporation,www.solomonwin.com.hk,solomonwin.com.hk,1,company_investor_relation|deal_investor_relation|investor_investment_relation
222196-87,Stephen Snow,5298,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
267053-86,Surge (Accelerator),5299,Accelerator/Incubator,surge.peakxv.com,surge.peakxv.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
279511-39,Tagehus Holding,5301,Real Estate,www.tagehus.se,tagehus.se,1,company_investor_relation|deal_investor_relation|investor_investment_relation
593298-01,TAIL Ventures,5302,Venture Capital,www.tailvc.com,tailvc.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
167293-45,TechInvest,5303,PE/Buyout,www.techinvest.com,techinvest.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
59048-65,Telefonica Germany,5305,PE-Backed Company,www.o2online.de,o2online.de,1,company_investor_relation|deal_investor_relation|investor_investment_relation
519407-38,Terra Nova Ventures,5306,Venture Capital,www.terranova.vc,terranova.vc,1,company_investor_relation|deal_investor_relation|investor_investment_relation
454883-32,The Rudolph Family Trust,5308,Angel Group,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
166962-34,TRIREC,5309,Venture Capital,www.trirec.co,trirec.co,1,company_investor_relation|deal_investor_relation|investor_investment_relation
53974-45,United Ventures,5311,Venture Capital,www.unitedventures.com,unitedventures.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
462378-07,Unmarshal,5313,VC-Backed Company,www.unmarshal.io,unmarshal.io,1,company_investor_relation|deal_investor_relation|investor_investment_relation
436906-72,Upsparks Capital,5314,Venture Capital,www.upsparks.vc,upsparks.vc,1,company_investor_relation|deal_investor_relation|investor_investment_relation
114136-57,Venture Initiation Program,5318,Accelerator/Incubator,,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
55028-08,VentureWell,5319,Accelerator/Incubator,www.venturewell.org,venturewell.org,1,company_investor_relation|deal_investor_relation|investor_investment_relation
460168-48,Verso Holdings,5321,Merchant Banking Firm,www.versoholdings.com,versoholdings.com,1,company_investor_relation|deal_investor_relation|investor_investment_relation
55956-25,VGC Partners,5322,PE/Buyout,vgcp.co.uk,vgcp.co.uk,1,company_investor_relation|deal_investor_relation|investor_investment_relation
106046-65,Warren Osborn,5327,Angel (individual),,,1,company_investor_relation|deal_investor_relation|investor_investment_relation
