InvestorID,InvestorName,delta_status,in_current_list,in_rule_b_list,current_task_index,rule_b_task_index,current_token_company_count,rule_b_company_count,current_source_methods,rule_b_source_methods,PrimaryInvestorType,Website,normalized_domain
459274-33,Blazing Equity,rule_b_only_added,no,yes,,2832,,2,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.blazingequity.com,blazingequity.com
519570-19,Blockchain Founders Capital,rule_b_only_added,no,yes,,5090,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.bfc.vc,bfc.vc
118842-13,Blockchain Technologies,rule_b_only_added,no,yes,,5097,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Accelerator/Incubator,www.blockchaintechcorp.com,blockchaintechcorp.com
462954-88,Bloom.CAPITAL,rule_b_only_added,no,yes,,4084,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,PE/Buyout,www.bloom.fund,bloom.fund
11097-01,Blue Sky Capital,rule_b_only_added,no,yes,,10299,,1,,company_investor_relation|deal_investor_relation,Venture Capital,www.blueskycapital.ca,blueskycapital.ca
55388-53,Blue Star Capital (Private Equity),rule_b_only_added,no,yes,,3766,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,PE/Buyout,www.bluestarcapital.co.uk,bluestarcapital.co.uk
754512-58,Bluebox Capital,rule_b_only_added,no,yes,,5135,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,blueboxcapital.co.uk,blueboxcapital.co.uk
731581-93,Bluepalm Capital Partners,rule_b_only_added,no,yes,,5139,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Asset Manager,www.bluepalm.fund,bluepalm.fund
11255-59,BlueRun Ventures,rule_b_only_added,no,yes,,4085,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Venture Capital,www.brv.com,brv.com
105970-24,Bobby Goodlatte,rule_b_only_added,no,yes,,5152,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Angel (individual),,
168738-04,Bokwang Venture Capital,rule_b_only_added,no,yes,,5158,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,,
483317-83,Bool Capital,rule_b_only_added,no,yes,,5164,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Family Office,bool.capital,bool.capital
223960-33,Boom Capital Ventures,rule_b_only_added,no,yes,,5165,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.boomcap.co,boomcap.co
107691-85,Borsenmedien,rule_b_only_added,no,yes,,3859,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.boersenmedien.de,boersenmedien.de
438163-39,Boson Protocol,rule_b_only_added,no,yes,,5175,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,VC-Backed Company,www.bosonprotocol.io,bosonprotocol.io
221901-67,Bouaziz and Partners,rule_b_only_added,no,yes,,5177,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Family Office,www.bouazizpartners.com,bouazizpartners.com
185512-69,Bracket Capital,rule_b_only_added,no,yes,,4090,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation|fund_investment_relation,Growth/Expansion,www.bracketcapital.com,bracketcapital.com
42085-99,Broadridge Financial Solutions,rule_b_only_added,no,yes,,5227,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.broadridge.com,broadridge.com
521655-04,Brown Street Ventures,rule_b_only_added,no,yes,,5230,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Asset Manager,www.brownstreetventures.com,brownstreetventures.com
118533-07,BTL Group Ltd.,rule_b_only_added,no,yes,,5242,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,blockchaintechltd.com,blockchaintechltd.com
514988-74,Buck Stash,rule_b_only_added,no,yes,,5246,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,,
126593-74,Callais Capital Management,rule_b_only_added,no,yes,,5279,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.callaiscapital.com,callaiscapital.com
437521-42,Cambrian Asset Management,rule_b_only_added,no,yes,,5284,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Hedge Fund,www.cambrianasset.com,cambrianasset.com
471433-51,Candy,rule_b_only_added,no,yes,,5294,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporation,www.candy.io,candy.io
495628-57,Capital Advantage Ventures,rule_b_only_added,no,yes,,5299,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Venture Capital,www.capitaladvantage.vc,capitaladvantage.vc
222296-32,Capital for Founders,rule_b_only_added,no,yes,,5301,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Growth/Expansion,www.capitalforfounders.com,capitalforfounders.com
119684-44,Capital One Ventures,rule_b_only_added,no,yes,,5302,,1,,company_investor_relation|deal_investor_relation|investor_investment_relation,Corporate Venture Capital,capitaloneventures.com,capitaloneventures.com
